Date/Time,ZONE ONE:Zone People Occupant Count [](TimeStep),ZONE ONE:Zone Lights Total Heating Energy [J](TimeStep),ZONE ONE:Zone Electric Equipment Total Heating Energy [J](TimeStep),ZONE ONE:Zone Air Temperature [C](TimeStep),BOILER 1:Boiler Heating Rate [W](TimeStep),CHILLER 1:Chiller Evaporator Cooling Rate [W](TimeStep) 
 07/20  00:10:00,0.0,12000.0,12672.0,24.645424647288448,0.0,0.0 
 07/20  00:20:00,0.0,12000.0,12672.0,24.61513573296079,0.0,0.0 
 07/20  00:30:00,0.0,12000.0,12672.0,24.60267989196096,0.0,0.0 
 07/20  00:40:00,0.0,12000.0,12672.0,24.60177323961547,0.0,0.0 
 07/20  00:50:00,0.0,12000.0,12672.0,24.610106713949319,0.0,0.0 
 07/20  01:00:00,0.0,12000.0,12672.0,24.626915156534513,0.0,0.0 
 07/20  01:10:00,0.0,12000.0,12672.0,24.636192910739749,0.0,0.0 
 07/20  01:20:00,0.0,12000.0,12672.0,24.636100192449548,0.0,0.0 
 07/20  01:30:00,0.0,12000.0,12672.0,24.6307029899125,0.0,0.0 
 07/20  01:40:00,0.0,12000.0,12672.0,24.622962136374818,0.0,0.0 
 07/20  01:50:00,0.0,12000.0,12672.0,24.613934856965284,0.0,0.0 
 07/20  02:00:00,0.0,12000.0,12672.0,24.60390219670801,0.0,0.0 
 07/20  02:10:00,0.0,12000.0,12672.0,24.59108221463335,0.0,0.0 
 07/20  02:20:00,0.0,12000.0,12672.0,24.57606511019204,0.0,0.0 
 07/20  02:30:00,0.0,12000.0,12672.0,24.560065776669935,0.0,0.0 
 07/20  02:40:00,0.0,12000.0,12672.0,24.54373574417794,0.0,0.0 
 07/20  02:50:00,0.0,12000.0,12672.0,24.52722405116622,0.0,0.0 
 07/20  03:00:00,0.0,12000.0,12672.0,24.510560323180024,0.0,0.0 
 07/20  03:10:00,0.0,12000.0,12672.0,24.489065818744856,0.0,0.0 
 07/20  03:20:00,0.0,12000.0,12672.0,24.462132033787634,0.0,0.0 
 07/20  03:30:00,0.0,12000.0,12672.0,24.43126213046763,0.0,0.0 
 07/20  03:40:00,0.0,12000.0,12672.0,24.397685897757794,0.0,0.0 
 07/20  03:50:00,0.0,12000.0,12672.0,24.361739806471289,0.0,0.0 
 07/20  04:00:00,0.0,12000.0,12672.0,24.323728869023094,0.0,0.0 
 07/20  04:10:00,0.0,12000.0,12672.0,24.293691175181889,0.0,0.0 
 07/20  04:20:00,0.0,12000.0,12672.0,24.271587498284317,0.0,0.0 
 07/20  04:30:00,0.0,12000.0,12672.0,24.25347382798334,0.0,0.0 
 07/20  04:40:00,0.0,12000.0,12672.0,24.23697994596549,0.0,0.0 
 07/20  04:50:00,0.0,12000.0,12672.0,24.221550405749619,0.0,0.0 
 07/20  05:00:00,0.0,12000.0,12672.0,24.207148698989895,0.0,0.0 
 07/20  05:10:00,0.0,12000.0,12672.0,24.192317447900007,0.0,0.0 
 07/20  05:20:00,0.0,12000.0,12672.0,24.177156646984036,0.0,0.0 
 07/20  05:30:00,0.0,12000.0,12672.0,24.16218876425056,0.0,0.0 
 07/20  05:40:00,0.0,12000.0,12672.0,24.147640276980995,0.0,0.0 
 07/20  05:50:00,0.0,12000.0,12672.0,24.13352045916649,0.0,0.0 
 07/20  06:00:00,0.0,12000.0,12672.0,24.119761416750067,0.0,0.0 
 07/20  06:10:00,0.0,12000.0,12672.0,24.86274253875971,1971.5557167185684,2869.1045583105515 
